R2,63.11,54.61,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,164.63,-38.93,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,96.01,18.19,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,170.89,15.93,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,161.73,6.94,93.10,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,133.88,-6.77,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,76.64,-4.47,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,72.46,-2.57,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,51.19,-27.43,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,51.08,-26.13,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,51.17,-24.63,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,51.06,-21.83,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,51.15,-20.33,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,37.03,65.30,178.90,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,43.72,55.67,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,111.85,4.74,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,35.92,55.04,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,55.47,-23.17,89.60,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,43.47,57.49,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,168.11,-33.19,0.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,59.96,58.89,0.00,,SJ
TP1,46.23,42.81,0.00,TPTP20R,TP20R
TP10,68.96,22.31,0.00,TPTP20R,TP20R
TP11,46.51,33.91,0.00,TPTP20R,TP20R
TP12,56.21,27.11,0.00,TPTP20R,TP20R
TP13,55.16,34.31,0.00,TPTP20R,TP20R
TP14,148.31,10.01,0.00,TPTP20R,TP20R
TP15,89.76,24.41,0.00,TPTP20R,TP20R
TP16,94.51,20.91,0.00,TPTP20R,TP20R
TP17,79.46,0.81,0.00,TPTP20R,TP20R
TP2,46.35,46.71,0.00,TPTP20R,TP20R
TP3,154.97,-4.29,0.00,TPTP20R,TP20R
TP4,85.99,59.51,0.00,TPTP20R,TP20R
TP5,89.59,55.89,0.00,TPTP20R,TP20R
TP6,30.71,-30.11,0.00,TPTP20R,TP20R
TP7,65.23,23.89,0.00,TPTP20R,TP20R
TP8,61.95,28.39,0.00,TPTP20R,TP20R
TP9,47.87,38.89,0.00,TPTP20R,TP20R
U1,60.29,15.96,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,29.40,16.94,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,100.85,10.00,90.00,DS3231SN#,SOIC127P1032X265-16N
U4,150.44,-13.88,269.80,MAX17048G+T10,SON50P200X200X80-9N
